fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
0,2000,300,1.0679207764983736,0.43666666666666665,2021-10-24,2021-11-05
1,2000,300,1.105082007165002,0.44,2021-11-05,2021-11-20
2,2000,300,1.1309333974781102,0.4166666666666667,2021-11-20,2021-11-30
3,2000,300,1.0873006010340007,0.4633333333333333,2021-11-30,2021-12-11
4,2000,300,1.024487531609295,0.5133333333333333,2021-12-11,2021-12-22
5,2000,300,1.1386974645219161,0.4266666666666667,2021-12-22,2022-01-11
6,2000,300,1.0542435493240754,0.5033333333333333,2022-01-11,2022-01-22
7,2000,300,1.087116617365416,0.44,2022-01-22,2022-02-05
8,2000,300,1.112609001718616,0.4666666666666667,2022-02-05,2022-02-13
9,2000,300,1.1120315393716589,0.4266666666666667,2022-02-13,2022-02-23
10,2000,300,1.1068821248549015,0.43666666666666665,2022-02-23,2022-03-05
11,2000,300,1.0032980380349321,0.5133333333333333,2022-03-05,2022-03-13
12,2000,300,1.0668560755006622,0.4766666666666667,2022-03-13,2022-03-26
13,2000,300,1.0439701874963725,0.49666666666666665,2022-03-26,2022-04-09
14,2000,300,1.1258013271668696,0.45666666666666667,2022-04-09,2022-04-18
15,2000,300,1.1130409094273244,0.45666666666666667,2022-04-18,2022-04-29
16,2000,300,1.1451511622077946,0.44666666666666666,2022-04-29,2022-05-08
17,2000,300,1.025124996364242,0.4866666666666667,2022-05-08,2022-07-17
18,2000,300,1.093293845121109,0.44,2022-07-17,2022-08-14
19,2000,300,1.1012840735351708,0.45666666666666667,2022-08-14,2022-08-27
20,2000,300,1.082483230774077,0.45666666666666667,2022-08-27,2022-09-03
21,2000,300,1.0651803296030937,0.48333333333333334,2022-09-03,2022-09-16
22,2000,300,1.1083661328804757,0.47333333333333333,2022-09-16,2022-10-01
23,2000,300,1.1257342573199687,0.4666666666666667,2022-10-01,2022-10-09
24,2000,300,1.09986234952941,0.4533333333333333,2022-10-09,2022-10-22
