fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
0,1000,300,1.0700882313588935,0.45666666666666667,2021-09-18,2021-09-26
1,1000,300,1.0806055189401367,0.47,2021-09-26,2021-10-09
2,1000,300,1.0551721518728618,0.43666666666666665,2021-10-09,2021-10-23
3,1000,300,1.0717361729136556,0.44666666666666666,2021-10-23,2021-10-31
4,1000,300,1.0866698449531285,0.43666666666666665,2021-10-31,2021-11-19
5,1000,300,1.0955985730119158,0.41,2021-11-19,2021-11-27
6,1000,300,1.0336838631021397,0.48333333333333334,2021-11-27,2021-12-06
7,1000,300,1.0200783371031736,0.49333333333333335,2021-12-06,2021-12-18
8,1000,300,1.0775257948273185,0.44333333333333336,2021-12-18,2022-01-07
9,1000,300,1.06732321438913,0.43,2022-01-07,2022-01-21
10,1000,300,1.0729708117531767,0.43666666666666665,2022-01-21,2022-01-30
11,1000,300,1.0193018130832914,0.49,2022-01-30,2022-02-12
12,1000,300,1.0720415093159863,0.4633333333333333,2022-02-12,2022-02-20
13,1000,300,1.0736229837195057,0.43666666666666665,2022-02-20,2022-02-28
14,1000,300,1.0039936251248502,0.47,2022-02-28,2022-03-12
15,1000,300,1.0548557463642358,0.4866666666666667,2022-03-12,2022-03-19
16,1000,300,1.0021277487910785,0.47,2022-03-19,2022-04-03
17,1000,300,1.0099225512409653,0.5166666666666667,2022-04-03,2022-04-15
18,1000,300,1.0824004659640067,0.46,2022-04-15,2022-04-23
19,1000,300,1.0654053399955308,0.4766666666666667,2022-04-23,2022-05-06
20,1000,300,1.0398237742774918,0.48,2022-05-06,2022-05-15
21,1000,300,1.0406259335117962,0.5066666666666667,2022-05-15,2022-08-13
22,1000,300,1.1114934323161514,0.41333333333333333,2022-08-13,2022-08-20
23,1000,300,1.043229072997538,0.47333333333333333,2022-08-20,2022-08-31
24,1000,300,1.0080930590581763,0.5266666666666666,2022-08-31,2022-09-11
25,1000,300,1.0293210425723824,0.49,2022-09-11,2022-09-24
26,1000,300,1.0636633576440284,0.4633333333333333,2022-09-24,2022-10-08
27,1000,300,1.0560457963211936,0.48333333333333334,2022-10-08,2022-10-16
28,1000,300,1.074066289250105,0.48333333333333334,2022-10-16,2022-10-25
29,1000,300,1.0356405849765624,0.48333333333333334,2022-10-25,2022-11-05
30,1000,300,1.0664123008044328,0.46,2022-11-05,2022-11-13
31,1000,300,1.0879958833907646,0.4266666666666667,2022-11-13,2022-12-21
32,1000,300,1.0525419529685065,0.45666666666666667,2022-12-22,2023-01-04
33,1000,300,1.0434708874197356,0.47333333333333333,2023-01-04,2023-01-16
34,1000,300,1.0441310916543936,0.49333333333333335,2023-01-16,2023-01-29
35,1000,300,1.0406023979650296,0.44333333333333336,2023-01-29,2023-02-10
36,1000,300,0.9987314513434633,0.49666666666666665,2023-02-10,2023-02-18
37,1000,300,1.0246124536932457,0.4866666666666667,2023-02-18,2023-02-28
38,1000,300,1.0382125471051007,0.45666666666666667,2023-02-28,2023-03-11
39,1000,300,1.052383089835709,0.45666666666666667,2023-03-11,2023-03-19
40,1000,300,1.0646455892370428,0.44333333333333336,2023-03-19,2023-04-07
41,1000,300,1.0547350723628972,0.48333333333333334,2023-04-07,2023-04-15
42,1000,300,1.059212598671448,0.48333333333333334,2023-04-15,2023-04-23
43,1000,300,1.0186664575479465,0.5066666666666667,2023-04-23,2023-05-06
44,1000,300,0.9907378234400992,0.5166666666666667,2023-05-06,2023-05-20
45,1000,300,1.069423131711333,0.4766666666666667,2023-05-20,2023-08-05
46,1000,300,1.0696808212740192,0.4633333333333333,2023-08-06,2023-08-20
47,1000,300,1.0795900892852373,0.4533333333333333,2023-08-20,2023-09-02
48,1000,300,1.0615731846047494,0.4533333333333333,2023-09-02,2023-09-16
