fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
0,2000,300,1.0565089393712663,0.45,2021-10-24,2021-11-05
1,2000,300,1.0510027060308735,0.4666666666666667,2021-11-05,2021-11-20
2,2000,300,1.0671140410688489,0.43666666666666665,2021-11-20,2021-11-30
3,2000,300,1.0356515104153294,0.4666666666666667,2021-11-30,2021-12-11
4,2000,300,1.0280417276330556,0.48333333333333334,2021-12-11,2021-12-22
5,2000,300,1.06924857306648,0.45,2021-12-22,2022-01-11
6,2000,300,1.039726111184996,0.47,2022-01-11,2022-01-22
7,2000,300,1.0668320519724872,0.43333333333333335,2022-01-22,2022-02-05
8,2000,300,1.052881207137589,0.47,2022-02-05,2022-02-13
9,2000,300,1.0659514501294627,0.42,2022-02-13,2022-02-23
10,2000,300,1.0556834384447693,0.48,2022-02-23,2022-03-05
11,2000,300,1.004053943333026,0.5366666666666666,2022-03-05,2022-03-13
12,2000,300,1.0376969669704892,0.48,2022-03-13,2022-03-26
13,2000,300,1.0177249240474389,0.47333333333333333,2022-03-26,2022-04-09
14,2000,300,1.0539148507973752,0.45666666666666667,2022-04-09,2022-04-18
15,2000,300,1.048851453460722,0.4633333333333333,2022-04-18,2022-04-29
16,2000,300,1.0728466320913035,0.41333333333333333,2022-04-29,2022-05-08
17,2000,300,1.0242123455094676,0.5133333333333333,2022-05-08,2022-07-17
18,2000,300,1.0480851755316918,0.4766666666666667,2022-07-17,2022-08-14
19,2000,300,1.0608666012430092,0.44666666666666666,2022-08-14,2022-08-27
20,2000,300,1.0453488892618805,0.46,2022-08-27,2022-09-03
21,2000,300,1.0347031775907742,0.47,2022-09-03,2022-09-16
22,2000,300,1.042518954397515,0.4633333333333333,2022-09-16,2022-10-01
23,2000,300,1.06106371676197,0.44666666666666666,2022-10-01,2022-10-09
24,2000,300,1.048135882821647,0.46,2022-10-09,2022-10-22
25,2000,300,1.055944114748491,0.47,2022-10-22,2022-10-29
26,2000,300,1.050045990837336,0.46,2022-10-29,2022-11-08
27,2000,300,1.047501111837002,0.4766666666666667,2022-11-08,2022-11-28
28,2000,300,1.0868879328800445,0.38,2022-11-30,2022-12-26
29,2000,300,1.0472032391409418,0.48,2022-12-26,2023-01-08
30,2000,300,1.0228989288844474,0.5033333333333333,2023-01-08,2023-01-22
31,2000,300,1.0564370579980598,0.46,2023-01-22,2023-02-03
