fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
0,2000,300,1.092328006362323,0.39,2021-10-24,2021-11-05
1,2000,300,1.073100276969991,0.44,2021-11-05,2021-11-20
2,2000,300,1.0805732599255453,0.4166666666666667,2021-11-20,2021-11-30
3,2000,300,1.0653756095571685,0.4533333333333333,2021-11-30,2021-12-11
4,2000,300,1.0701143482073656,0.44,2021-12-11,2021-12-22
5,2000,300,1.0848638368848158,0.4,2021-12-22,2022-01-11
6,2000,300,1.0823098945102092,0.4066666666666667,2022-01-11,2022-01-22
7,2000,300,1.09585860365151,0.39,2022-01-22,2022-02-05
8,2000,300,1.0676787021965637,0.44333333333333336,2022-02-05,2022-02-13
9,2000,300,1.089385851492034,0.4033333333333333,2022-02-13,2022-02-23
10,2000,300,1.0733899512543954,0.45666666666666667,2022-02-23,2022-03-05
11,2000,300,1.0612097842450745,0.46,2022-03-05,2022-03-13
12,2000,300,1.071874677481564,0.43666666666666665,2022-03-13,2022-03-26
13,2000,300,1.0546406487102253,0.4666666666666667,2022-03-26,2022-04-09
14,2000,300,1.0669658917398623,0.43333333333333335,2022-04-09,2022-04-18
15,2000,300,1.0625800064990434,0.44,2022-04-18,2022-04-29
16,2000,300,1.0794949342425832,0.3933333333333333,2022-04-29,2022-05-08
17,2000,300,1.0661364602616645,0.44333333333333336,2022-05-08,2022-07-17
18,2000,300,1.0712300218538473,0.4766666666666667,2022-07-17,2022-08-14
19,2000,300,1.092231410731897,0.4166666666666667,2022-08-14,2022-08-27
20,2000,300,1.0720043447063743,0.44,2022-08-27,2022-09-03
21,2000,300,1.0630735438628856,0.44333333333333336,2022-09-03,2022-09-16
22,2000,300,1.0596399588011054,0.4666666666666667,2022-09-16,2022-10-01
23,2000,300,1.0781296437423915,0.42,2022-10-01,2022-10-09
24,2000,300,1.062145685201223,0.45,2022-10-09,2022-10-22
25,2000,300,1.071474228449408,0.46,2022-10-22,2022-10-29
26,2000,300,1.0861368710572978,0.41333333333333333,2022-10-29,2022-11-08
27,2000,300,1.0827558152040515,0.4166666666666667,2022-11-08,2022-11-28
28,2000,300,1.1013407303263325,0.38666666666666666,2022-11-30,2022-12-26
29,2000,300,1.0787351361809068,0.42333333333333334,2022-12-26,2023-01-08
30,2000,300,1.064668004964316,0.4633333333333333,2023-01-08,2023-01-22
